,vote
0,biden
1,trump
2,biden
3,biden
4,biden
5,biden
6,trump
7,biden
8,trump
9,trump
10,trump
11,trump
12,trump
13,biden
14,trump
15,biden
16,trump
17,trump
18,trump
19,biden
20,trump
21,biden
22,trump
23,trump
24,biden
25,trump
26,trump
27,biden
28,trump
29,trump
30,biden
31,biden
32,biden
33,trump
34,trump
35,trump
36,biden
37,biden
38,trump
39,trump
40,trump
41,biden
42,biden
43,biden
44,trump
45,trump
46,biden
47,biden
48,biden
49,biden
50,biden
51,biden
52,biden
53,trump
54,biden
55,trump
56,biden
57,trump
58,trump
59,trump
60,biden
61,trump
62,trump
63,biden
64,trump
65,trump
66,biden
67,trump
68,biden
69,trump
70,biden
71,trump
72,biden
73,biden
74,trump
75,trump
76,trump
77,trump
78,biden
79,trump
80,biden
81,biden
82,biden
83,biden
84,trump
85,trump
86,biden
87,trump
88,trump
89,biden
90,trump
91,biden
92,biden
93,trump
94,biden
95,trump
96,biden
97,biden
98,trump
99,biden
100,biden
101,trump
102,trump
103,biden
104,trump
105,biden
106,trump
107,trump
108,biden
109,biden
110,biden
111,trump
112,trump
113,biden
114,trump
115,trump
116,trump
117,trump
118,biden
119,biden
120,trump
121,biden
122,trump
123,biden
124,trump
125,biden
126,trump
127,trump
128,biden
129,trump
130,biden
131,trump
132,trump
133,trump
134,biden
135,trump
136,trump
137,biden
138,trump
139,biden
140,trump
141,biden
142,trump
143,trump
144,biden
145,biden
146,trump
147,trump
148,trump
149,trump
150,biden
151,trump
152,trump
153,trump
154,trump
155,biden
156,biden
157,biden
158,trump
159,trump
160,biden
161,biden
162,trump
163,biden
164,trump
165,biden
166,biden
167,biden
168,trump
169,biden
170,trump
171,biden
172,trump
173,biden
174,trump
175,biden
176,biden
177,biden
178,biden
179,biden
180,trump
181,trump
182,biden
183,biden
184,biden
185,biden
186,biden
187,biden
188,trump
189,biden
190,biden
191,biden
192,trump
193,trump
194,trump
195,biden
196,trump
197,trump
198,trump
199,biden
200,biden
201,trump
202,trump
203,biden
204,biden
205,trump
206,trump
207,trump
208,trump
209,trump
210,trump
211,trump
212,biden
213,trump
214,trump
215,trump
216,trump
217,biden
218,trump
219,biden
220,biden
221,biden
222,trump
223,biden
224,trump
225,biden
226,trump
227,trump
228,trump
229,trump
230,trump
231,biden
232,biden
233,biden
234,trump
235,trump
236,trump
237,trump
238,biden
239,biden
240,trump
241,trump
242,trump
243,trump
244,trump
245,trump
246,biden
247,trump
248,biden
249,trump
250,trump
251,trump
252,biden
253,biden
254,biden
255,trump
256,trump
257,biden
258,trump
259,biden
260,biden
261,trump
262,biden
263,trump
264,biden
265,biden
266,biden
267,biden
268,biden
269,trump
270,trump
271,trump
272,biden
273,trump
274,trump
275,biden
276,trump
277,biden
278,biden
279,biden
280,trump
281,trump
282,trump
283,trump
284,biden
285,biden
286,trump
287,biden
288,biden
289,biden
290,trump
291,biden
292,trump
293,trump
294,trump
295,trump
296,trump
297,biden
298,trump
299,trump
300,biden
301,trump
302,trump
303,trump
304,biden
305,biden
306,trump
307,biden
308,biden
309,trump
310,trump
311,biden
312,trump
313,biden
314,trump
315,trump
316,trump
317,biden
318,biden
319,biden
320,trump
321,trump
322,biden
323,trump
324,biden
325,biden
326,trump
327,trump
328,biden
329,biden
330,trump
331,biden
